Business Name,Business Type,Physical Address,Mailing Address,Telephone,Fax,Operation Status,USDOT Number,MC Number,Out of Service Date,Entity Type,Legal Name,Bussiness Since,Total Trucks,Total Drivers,Carrier Operation,Hazardous Material,MCS-150 Mileage Year,MCS-150 DATE,MCS-150 MILEAGE,Cargo Hauled,Operation Classification
A W HERNDON LAND & TIMBER DEVELOPMENT INC            ,Trucking Companies Company                        ,"100 NORTH COURT SQUAREABBEVILLE, AL   36310                    ","P O BOX 640ABBEVILLE, AL   36310-0640                    ",,,Active,92488,,None,Carrier,A W HERNDON LAND & TIMBER DEVELOPMENT INC,01-JUN-74,1,"1
",Intrastate Non-Hazmat,No,,25-AUG-04,,General Freight - ,Private(Property) - 
A W M TRUCKING            ,Trucking Companies Company                        ,350 COUNTY ROAD 115    ABBEVILLE AL 36310                    ,350 COUNTY ROAD 115    ABBEVILLE AL 36310-6109                    ,3344419529 ,3344419529,Not Authorized,N/A,MC-120834,None,Carrier,A W M TRUCKING,15-AUG-18,3,"3
",Interstate,No,2019,29-APR-20,1,"General Freight - Metal: sheets, coils, rolls - Building Materials - Machinery, Large Objects - Fresh Produce - Grain, Feed, Hay - Meat - Commodities Dry Bulk - Refrigerated Food - Beverages - Paper Products - Utilities - Agricultural/Farm Supplies - Construction - OTHER - ",Auth. For Hire - Exempt For Hire - 
A W M TRUCKING LLC            ,Trucking Companies Company                        ,"350 COUNTY ROAD 115ABBEVILLE, AL   36310                    ","350 COUNTY ROAD 115ABBEVILLE, AL   36310                    ",,,Active,3173886,,None,Carrier,A W M TRUCKING LLC,15-AUG-18,2,"2
",Interstate,No,2019,16-JUN-20,1,"Logs, Poles, Beams, Lumber - Machinery, Large Objects - ",Private(Property) - 
AAA INVESTIGATIONS & RECOVERY LLC            ,Trucking Companies Company                        ,428 INDUSTRIAL BLVDABBEVILLE AL 36310                    ,"428 INDUSTRIAL BLVD,Abbeville, AL, 36310                    ",(334) 441-7276,(334) 585-1183,,1891691,MC-680999,None,Carrier,AAA INVESTIGATIONS & RECOVERY LLC,,,,,,,,,,
ABBEVILLE MILLING INC            ,Trucking Companies Company                        ,"112 OZARK RDABBEVILLE, AL   36310                    ","PO BOX 607ABBEVILLE, AL   36310-0607                    ",(334) 585-5588,(334) 585-6022,Active,275703,,None,Carrier,ABBEVILLE MILLING INC,08-JUL-86,6,"6
",Interstate,No,2015,02-SEP-20,255070,"Logs, Poles, Beams, Lumber - FUELWOOD CHIPS - ",Exempt For Hire - 
ALLEN MONEY            ,Trucking Companies Company                        ,385 GALAXY DRIVE NABBEVILLE AL 36310                    ,"385 GALAXY DRIVE NABBEVILLE, AL   36310                    ",(334) 441-7496,(334) 585-9613,Not Authorized,799022,MC-674777,None,Carrier,ALLEN MONEY,09-MAR-99,1,"1
",Interstate,No,2016,27-JUN-17,55000,General Freight - ,Auth. For Hire - Exempt For Hire - 
ALLEN W MORRISON            ,Trucking Companies Company                        ,"406 COUNTY ROAD115ABBEVILLE, AL   36310                    ","PO BOX 485ABBEVILLE, AL   36310                    ",,,Active,2178315,,None,Carrier,ALLEN W MORRISON,02-AUG-11,3,"3
",Interstate,No,2018,19-MAR-19,197237,"Logs, Poles, Beams, Lumber - Machinery, Large Objects - ",Exempt For Hire - Private(Property) - 
AMERICAN MACHINE & MANUFACTURING INC            ,Trucking Companies Company                        ,"273 INDUSTRIAL PARK RDABBEVILLE, AL   36310                    ","PO BOX 151ABBEVILLE, AL   36310                    ",,,Active,1524711,,None,Carrier,AMERICAN MACHINE & MANUFACTURING INC,30-JUN-06,2,"1
",Interstate,No,2013,19-NOV-18,30000,/ MANUFACTURED P - ,Private(Property) - 
ANTONIO TRUITT            ,Trucking Companies Company                        ,"123 CO RD 57 NABBEVILLE, AL   36310                    ","123 CO RD 57 NABBEVILLE, AL   36310                    ",(334) 575-5620,,Active,1017750,,None,Carrier,ANTONIO TRUITT,10-APR-02,1,"1
",Interstate,No,2018,12-OCT-19,20000,"Logs, Poles, Beams, Lumber - ",Exempt For Hire - 
ARNOLDS FURNITURE INC            ,Trucking Companies Company                        ,"113 SOUTH COURT SQUAREABBEVILLE, AL   36310                    ","PO BOX 395ABBEVILLE, AL   36310                    ",,,Active,1881326,,None,Carrier,ARNOLDS FURNITURE INC,23-APR-09,3,"3
",Interstate,No,2015,13-JUL-20,1,Household Goods - ,Exempt For Hire - Private(Property) - 
ARROW DISPOSAL SERVICE INCORPORATED            ,Trucking Companies Company                        ,"106 WEST COURT SQUAREABBEVILLE, AL   36310                    ","POST OFFICE BOX 548ABBEVILLE, AL   36310                    ",,,Active,1791939,,None,Carrier,ARROW DISPOSAL SERVICE INCORPORATED,15-JUL-08,56,"56
",Intrastate Non-Hazmat,No,2019,15-OCT-19,1400000,Garbage/Refuse - GARBAGE - ,Private(Property) - 
ARROW DISPOSAL SERVICE OF ALABAMA INC            ,Trucking Companies Company                        ,"106 WEST COURT SQUAREABBEVILLE, AL   36310                    ","P O BOX 397ABBEVILLE, AL   36310                    ",,,Active,2427436,,None,Carrier,ARROW DISPOSAL SERVICE OF ALABAMA INC,06-AUG-13,3,"3
",Intrastate Non-Hazmat,No,,06-AUG-13,,Garbage/Refuse - ,Local Gov't - 
"B & L TRUCKING CO., INC.            ",Trucking Companies Company                        ,11969 STATE HIGHWAY 10 EASTSHORTERVILLE AL 36373                    ,"11969 STATE HIGHWAY 10 EAST,Abbeville, AL, 36310                    ",(334) 585-6453,,,275046,MC-276388,None,Carrier,"B & L TRUCKING CO., INC.",,,,,,,,,,
B&L LOGISTICS LLC            ,Trucking Companies Company                        ,"8121 COUNTY ROAD 65   ABBEVILLE, AL 36310                    ","8121 COUNTY ROAD 65   ABBEVILLE, AL 36310-6585                    ",(334) 355-2715,,,3462857,,None,Carrier,B&L LOGISTICS LLC,31-JUL-20,1,"1
",Interstate,No,,31-JUL-20,,,
BCL INC            ,Trucking Companies Company                        ,"520 KIRKLAND STREETABBEVILLE, AL   36310                    ","520 KIRKLAND STREETABBEVILLE, AL   36310                    ",,,Active,1507337,,None,Carrier,BCL INC,29-MAY-06,4,"3
",Intrastate Non-Hazmat,No,2005,29-MAY-06,60000,"General Freight - Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - Construction - ",Private(Property) - 
BIG PINE INC            ,Trucking Companies Company                        ,"893 COUNTY ROAD 57 NORTHABBEVILLE, AL   36310                    ","893 COUNTY ROAD 57 NORTHABBEVILLE, AL   36310                    ",,,Active,2361338,,None,Carrier,BIG PINE INC,04-DEC-12,1,"1
",Intrastate Non-Hazmat,No,2014,14-MAR-19,5000,"Machinery, Large Objects - Livestock - Grain, Feed, Hay - Agricultural/Farm Supplies - ",Private(Property) - 
BIL-MAR CONSTRUCTION LLC            ,Trucking Companies Company                        ,"589 INDUSTRIAL PARK ROADABBEVILLE, AL   36310                    ","589 INDUSTRIAL PARK ROADABBEVILLE, AL   36310                    ",,,Active,1589381,,None,Carrier,BIL-MAR CONSTRUCTION LLC,27-DEC-06,3,"2
",Interstate,No,2019,29-JAN-20,10000,"Machinery, Large Objects - ",Private(Property) - 
BILLINS TRANSPORT LLC            ,Trucking Companies Company                        ,105 BETTY ST ABBEVILLE AL 36310                    ," ABBEVILLE, AL   36310                    ",(334) 441-8192,,Authorized For Property,3161138,MC-111266,None,Carrier,BILLINS TRANSPORT LLC,16-JUL-18,1,"1
",Interstate,No,2019,07-OCT-19,8045,General Freight - ,Auth. For Hire - 
BLACKMON LOGISTICS LLC            ,Trucking Companies Company                        ,"311 COUNTY ROAD 59ABBEVILLE, AL 36310-7421                    ","311 COUNTY ROAD 59ABBEVILLE, AL 36310-7421                    ",(719) 266-2837,,,3453991,,None,Carrier,BLACKMON LOGISTICS LLC,15-JUL-20,1,"1
",Interstate,No,,17-JUL-20,,,
BOBBY & TONY CHITTY            ,Trucking Companies Company                        ,5190 COUNTY RD 97ABBEVILLE AL 36310                    ,"5190 COUNTY RD  97ABBEVILLE, AL 36310                    ",(334) 585-9029,,,,MC-475850,None,Carrier,BOBBY & TONY CHITTY,08-AUG-03,1,"2
",Interstate,No,2017,07-JUN-18,176580,,
BOBBY G CHITTY SR            ,Trucking Companies Company                        ,"5190 COUNTY RD 97ABBEVILLE, AL   36310                    ","5190 COUNTY RD  97ABBEVILLE, AL   36310                    ",(334) 585-9029,(334) 585-6432,Active,1158271,,None,Carrier,BOBBY G CHITTY SR,08-AUG-03,2,"2
",Interstate,No,2018,05-NOV-19,159887,"Logs, Poles, Beams, Lumber - ",Exempt For Hire - 
BOBBY LAWSON WOLFE            ,Trucking Companies Company                        ,111 FRANKLIN ST ABBEVILLE AL 36310                    ,"111 FRANKLIN STABBEVILLE, AL   36310-2204                    ",(334) 587-2413,,Not Authorized,3334204,MC-1063039,None,Carrier,BOBBY LAWSON WOLFE,13-SEP-19,1,"2
",Interstate,No,,18-SEP-19,,General Freight - Household Goods - Building Materials - Mobile Homes - Utilities - Agricultural/Farm Supplies - Construction - Water Well - OTHER - ,Auth. For Hire - 
C4 ENTERPRISE LLC            ,Trucking Companies Company                        ,111 NORTH BRYANT STREETABBEVILLE AL 36310                    ,"111 NORTH BRYANT STREETABBEVILLE, AL   36310                    ",(334) 703-9874,,Authorized For Property,2797575,MC-934058,None,Carrier,C4 ENTERPRISE LLC,09-SEP-15,3,"4
",Interstate,No,2019,09-JAN-20,400000,"General Freight - Grain, Feed, Hay - Beverages - Paper Products - ",Auth. For Hire - 
CAIN BRADLEY            ,Trucking Companies Company                        ,"650 HICKORY GROVE RDABBEVILLE, AL   36310-2242                    ","650 HICKORY GROVE RDABBEVILLE, AL   36310-2242                    ",,,Active,3191226,,None,Carrier,CAIN BRADLEY,21-SEP-18,1,"1
",Intrastate Non-Hazmat,No,2020,28-JUN-20,1000,TOOLS - ,Private(Property) - 
CARSON ROGERS            ,Trucking Companies Company                        ,106 N DOSSELLABBEVILLE AL 36310                    ,"106 N DOSSELL,Abbeville, AL, 36310                    ",(334) 585-5572,,,856856,MC-377789,None,Carrier,CARSON ROGERS,,,,,,,,,,
CC'S HAULING LLC            ,Trucking Companies Company                        ,1394 COLUMBIA RD ABBEVILLE AL 36310                    ,"1394 COLUMBIA RDABBEVILLE, AL   36310                    ",(334) 618-6571,,Authorized For Property,3266118,MC-1030364,None,Carrier,CC'S HAULING LLC,29-MAR-19,1,"1
",Interstate,No,2018,09-SEP-19,1,General Freight - ,Auth. For Hire - 
CDM CARRIERS LLC            ,Trucking Companies Company                        ,172 ROCKHILL CIR ABBEVILLE AL 36310                    ,"172 ROCKHILL CIRABBEVILLE, AL   36310                    ",(334) 701-1347,,Authorized For Property,3339678,MC-1066331,None,Carrier,CDM CARRIERS LLC,26-SEP-19,1,"2
",Interstate,No,,26-SEP-19,,General Freight - ,Auth. For Hire - 
CHARLES MONEY LOGGING INC            ,Trucking Companies Company                        ,"651 W WASHINGTON STABBEVILLE, AL   36310                    ","P O BOX 219ABBEVILLE, AL   36310                    ",,,Active,457400,,None,Carrier,CHARLES MONEY LOGGING INC,05-SEP-91,7,"7
",Interstate,No,2018,07-DEC-20,397150,"Logs, Poles, Beams, Lumber - Machinery, Large Objects - ",Private(Property) - 
CHARLES R ROBINSON            ,Trucking Companies Company                        ,"1618 CO RD 84ABBEVILLE, AL   36310                    ","1618 CO RD 84ABBEVILLE, AL   36310                    ",(334) 585-5419,(334) 585-1788,Active,1568565,,None,Carrier,CHARLES R ROBINSON,23-OCT-06,1,"1
",Intrastate Non-Hazmat,No,,29-SEP-06,,HVAC - ,Exempt For Hire - 
CHRIS CRADDOCK            ,Trucking Companies Company                        ,4387 COUNTY ROAD 29ABBEVILLE AL 36310                    ,"4387 COUNTY ROAD 29,Abbeville, AL, 36310                    ",(334) 441-6002,,,2016086,MC-709866,None,Carrier,CHRIS CRADDOCK,,,,,,,,,,
CHRIS R WATSON            ,Trucking Companies Company                        ,1550 SINGLETARY ROADABBEVILLE AL 36310                    ,"1550 SINGLETARY ROAD,Abbeville, AL, 36310                    ",(334) 791-3107,,,2126538,MC-740885,None,Carrier,CHRIS R WATSON,,,,,,,,,,
CYNTHIA BROOKS            ,Trucking Companies Company                        ,234 COUNTY ROAD 59ABBEVILLE AL 36310                    ,"234 COUNTY ROAD 59ABBEVILLE, AL   36310                    ",(334) 585-0076,(334) 585-0263,Not Authorized,1640500,MC-604454,None,Carrier,CYNTHIA BROOKS,03-MAY-07,2,"2
",Intrastate Non-Hazmat,No,,26-MAR-08,,"General Freight - Fresh Produce - Refrigerated Food - CHICKEN,PLANTS - ",Auth. For Hire - 
"D & T TRUCKING, L.L.C.            ",Trucking Companies Company                        ,105 MARIANNA DRIVEABBEVILLE AL 36310                    ,"105 MARIANNA DRIVE,Abbeville, AL, 36310                    ",(334) 585-0502,,,1269511,MC-507609,None,Carrier,"D & T TRUCKING, L.L.C.",,,,,,,,,,
DAVID CARROLL            ,Trucking Companies Company                        ,2709 CO RD 91 ABBEVILLE AL 36310                    ,"2709 CO RD 91ABBEVILLE, AL 36310                    ",(334) 441-8215,,,1298514,MC-807343,None,Carrier,DAVID CARROLL,26-OCT-04,1,"1
",Interstate,No,2016,10-JUL-17,79000,,
DAVID PRICE            ,Trucking Companies Company                        ,"1242 CTY ROAD 84ABBEVILLE, AL   36310                    ","1242 CTY ROAD 84ABBEVILLE, AL   36310                    ",,,Active,1577954,,None,Carrier,DAVID PRICE,17-NOV-06,2,"1
",Intrastate Non-Hazmat,No,2005,09-MAY-06,10000,Garbage/Refuse - Construction - ,Private(Property) - 
"DAVIS TRUCKING, LLC            ",Trucking Companies Company                        ,"ROUTE  ONE, BOX 114ABBEVILLE AL 36310                    ","ROUTE  ONE, BOX 114,Abbeville, AL, 36310                    ",(334) 585-5240,,,697627,MC-323113,None,Carrier,"DAVIS TRUCKING, LLC",,,,,,,,,,
DEASON CONSTRUCTION LLC            ,Trucking Companies Company                        ,571 DOCTORS POINT RDABBEVILLE AL 36310                    ,"571 DOCTORS POINT RD,Abbeville, AL, 36310                    ",(334) 585-0051,(334) 460-2408,,2264001,MC-772766,None,Carrier,DEASON CONSTRUCTION LLC,,,,,,,,,,
DENALI RIDGE TRANSPORT LLC            ,Trucking Companies Company                        ,885 HOLIDAY DR ABBEVILLE AL 36310                    ," ABBEVILLE, AL   36310                    ",(334) 430-3644,(334) 647-6463,Authorized For Property,3119311,MC-87015,None,Carrier,DENALI RIDGE TRANSPORT LLC,05-APR-18,3,"4
",Interstate,No,2019,25-MAR-20,130424,"General Freight - Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - Machinery, Large Objects - Fresh Produce - Liquids/Gases - Chemicals - Beverages - Paper Products - Utilities - Agricultural/Farm Supplies - Construction - ",Auth. For Hire - 
"DIXIE EXPRESS, INC.            ",Trucking Companies Company                        ,"ROUTE 2, BOX 520ABBEVILLE AL 36310                    ","ROUTE 2, BOX 520,Abbeville, AL, 36310                    ",(334) 585-1933,,,734487,MC-334786,None,Carrier,"DIXIE EXPRESS, INC.",,,,,,,,,,
DRAGONRAM TRANSPORT LLC            ,Trucking Companies Company                        ,311 DOTHAN ROADABBEVILLE AL 36310                    ,"311 DOTHAN ROADABBEVILLE, AL   36310                    ",(334) 585-9458,,Not Authorized,1669708,MC-613743,None,Carrier,DRAGONRAM TRANSPORT LLC,24-JUL-07,1,"1
",Interstate,No,2018,05-JUN-19,117688,General Freight - Motor Vehicles - ,Auth. For Hire - 
"EARL SAUNDERS TRUCKING, L.L.C.            ",Trucking Companies Company                        ,4436 COUNTY  ROAD  53ABBEVILLE AL 36310                    ,"4436 COUNTY  ROAD  53,Abbeville, AL, 36310                    ",(334) 585-5452,,,814632,MC-314162,None,Carrier,"EARL SAUNDERS TRUCKING, L.L.C.",,,,,,,,,,
"ERNIE & MARTY TRUCKING, INC.            ",Trucking Companies Company                        ,199 COUNTY RD 260ABBEVILLE AL 36310                    ,"199 COUNTY RD 260,Abbeville, AL, 36310                    ",(334) 726-0463,,,652227,MC-338200,None,Carrier,"ERNIE & MARTY TRUCKING, INC.",,,,,,,,,,
EUGENE GOLDSMITH            ,Trucking Companies Company                        ,"736 COUNTY ROAD 119ABBEVILLE, AL   36310-6113                    ","736 COUNTY ROAD 119ABBEVILLE, AL   36310-6113                    ",(334) 596-2877,,Active,3161671,,None,Carrier,EUGENE GOLDSMITH,17-JUL-18,1,"1
",Interstate,No,2018,05-MAR-19,20000,"Grain, Feed, Hay - ",Exempt For Hire - 
EVAN & D'S ENTERPRISE LLC            ,Trucking Companies Company                        ,207 OZARK RD ABBEVILLE AL 36310                    ,"207 OZARK RDABBEVILLE, AL   36310-2616                    ",(334) 441-9614,,Authorized For Property,3303165,MC-1047933,None,Carrier,EVAN & D'S ENTERPRISE LLC,24-JUN-19,1,"1
",Interstate,No,2019,04-NOV-19,13554,General Freight - Building Materials - ,Auth. For Hire - 
FAITH 8 TRANSPORTATION LLC            ,Trucking Companies Company                        ,125 WHITEHEAD RDABBEVILLE AL 36310                    ,"125 WHITEHEAD RDABBEVILLE, AL   36310                    ",(334) 585-3474,(334) 585-0995,Authorized For Property,1456011,MC-562935,None,Carrier,FAITH 8 TRANSPORTATION LLC,25-JAN-06,3,"2
",Interstate,No,2020,19-NOV-20,300000,"General Freight - Household Goods - Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - Machinery, Large Objects - Grain, Feed, Hay - US Mail - Commodities Dry Bulk - Beverages - Paper Products - ",Auth. For Hire - 
