Business Name,Business Type,Physical Address,Mailing Address,Telephone,Fax,Operation Status,USDOT Number,MC Number,Out of Service Date,Entity Type,Legal Name,Bussiness Since,Total Trucks,Total Drivers,Carrier Operation,Hazardous Material,MCS-150 Mileage Year,MCS-150 DATE,MCS-150 MILEAGE,Cargo Hauled,Operation Classification
ADAMSVILLE CHURCH OF CHRIST            ,Trucking Companies Company                        ,"4207 VETERANS MEMORIAL DRIVEADAMSVILLE, AL   35005                    ","4207 VETERANS MEMORIAL DRIVEADAMSVILLE, AL   35005                    ",,,Active,1233137,,None,Carrier,ADAMSVILLE CHURCH OF CHRIST,07-APR-04,1,"1
",Intrastate Non-Hazmat,No,2004,07-APR-04,15241,Passengers - ,Private(Property) - Priv. Pass.(Non-business) - 
BIG SKY ENVIRONMENTAL            ,Trucking Companies Company                        ,"5100 FLATTOP ROADADAMSVILLE, AL   35005                    ","PO BOX 567GRAYSVILLE, AL   35073                    ",,,Active,2795296,,None,Carrier,BIG SKY ENVIRONMENTAL,31-AUG-15,8,"9
",Interstate,No,2018,07-JUN-19,300000,Garbage/Refuse - ,Private(Property) - 
BUSY B TRANSPORT LLC            ,Trucking Companies Company                        ,1004 GAIL DR    ADAMSVILLE AL 35005                    ,"1004 GAIL DRADAMSVILLE, AL   35005-2415                    ",(205) 281-6493,,Not Authorized,3083825,MC-68192,None,Carrier,BUSY B TRANSPORT LLC,08-JAN-18,1,"2
",Interstate,No,,08-JAN-18,,General Freight - ,Auth. For Hire - 
C & C INVESTIGATIONS            ,Trucking Companies Company                        ,"3029 POPLAR LANEADAMSVILLE, AL   35005                    ","3029 POPLAR LANEADAMSVILLE, AL   35005                    ",,,Active,2296184,,None,Carrier,C & C INVESTIGATIONS,17-APR-12,1,"1
",Intrastate Non-Hazmat,No,2011,17-APR-12,10000,Motor Vehicles - ,Private(Property) - 
CHILDS WAY ENTERPRISE LLC            ,Trucking Companies Company                        ,4007 DEBBY DR ADAMSVILLE AL 35005-2115                    ,"4007 DEBBY DRADAMSVILLE, AL   35005-2115                    ",(205) 585-6331,,Authorized For Property,3174878,MC-122055,None,Carrier,CHILDS WAY ENTERPRISE LLC,17-AUG-18,1,"1
",Interstate,No,2017,08-OCT-19,1,Motor Vehicles - ,Auth. For Hire - 
CLYDE MATHIS            ,Trucking Companies Company                        ,3704 MIDWAY RD.ADAMSVILLE AL 35005                    ,"3704 MIDWAY RD.,Adamsville, AL, 35005                    ",(205) 674-1894,,,618999,MC-296283,None,Carrier,CLYDE MATHIS,,,,,,,,,,
DARRELL BROWN TRUCKING INC            ,Trucking Companies Company                        ,"5610 PAYNE LANEADAMSVILLE, AL   35005                    ","8669 COUNTY LINE ROADDORA, AL   35062                    ",(205) 324-2470,(205) 674-8849,Active,1524353,,None,Carrier,DARRELL BROWN TRUCKING INC,30-JUN-06,22,"22
",Intrastate Non-Hazmat,No,2020,27-JUL-20,50,"Construction - SAND,DIRT,STONE - ",Auth. For Hire - 
DEBBIE LOGISTICS LLC            ,Trucking Companies Company                        ,4004 MAPLE CIRCLE ADAMSVILLE AL 35005                    ,"4004 MAPLE CIRCLEADAMSVILLE, AL   35005                    ",(469) 901-1415,,Not Authorized,3290983,MC-1050291,None,Carrier,DEBBIE LOGISTICS LLC,23-MAY-19,1,"1
",Interstate,No,,01-JUL-19,,General Freight - ,Auth. For Hire - 
DICKEY TOWING AND TRANSPORT LLC            ,Trucking Companies Company                        ,415 HILLTOP RD ADAMSVILLE AL 35005                    ,"415 HILLTOP RDADAMSVILLE, AL   35005-2003                    ",(205) 253-3892,,Authorized For Property,3354965,MC-1072855,None,Carrier,DICKEY TOWING AND TRANSPORT LLC,06-NOV-19,1,"1
",Interstate,No,,02-DEC-19,,General Freight - Drive/Tow away - ,Auth. For Hire - 
DOROTHY MOORE            ,Trucking Companies Company                        ,4116 HAZELWOOD ROADADAMSVILLE AL 35005                    ,"4116 HAZELWOOD ROAD,Adamsville, AL, 35005                    ",,,,889362,MC-387442,None,Carrier,DOROTHY MOORE,,,,,,,,,,
DOUBLE A LAWN AND TREE SERVICE LLC            ,Trucking Companies Company                        ,"4027 MAIN STREETADAMSVILLE, AL   35005                    ","4027 MAIN STREETADAMSVILLE, AL   35005                    ",(205) 674-1576,,Active,2286701,,None,Carrier,DOUBLE A LAWN AND TREE SERVICE LLC,22-MAR-12,3,"2
",Intrastate Non-Hazmat,No,,22-MAR-12,,"Logs, Poles, Beams, Lumber - Machinery, Large Objects - Construction - ",Auth. For Hire - 
EPIC EXPRESS LLC            ,Trucking Companies Company                        ,38 AMBER CIRCLED AL 35603                    ,"38 AMBER CIRCLE,Adamsville, AL, 35603                    ",(256) 353-5893,(256) 353-5893,,1260007,MC-496056,None,Carrier,EPIC EXPRESS LLC,,,,,,,,,,
FAMILY TOWING AND RECOVERY LLC            ,Trucking Companies Company                        ,"400 UNION GROVE RDADAMSVILLE, AL   35005-1115                    ","27 LAKEVIEW RDDORA, AL   35062-4018                    ",(205) 920-6125,,Active,2836867,,None,Carrier,FAMILY TOWING AND RECOVERY LLC,08-JAN-16,1,"2
",Intrastate Non-Hazmat,No,2019,27-JUL-20,100000,Motor Vehicles - ,Auth. For Hire - 
FIREWORKS OF ALABAMA INC            ,Trucking Companies Company                        ,"3325 POPLAR LANEADAMSVILLE, AL   35005                    ","PO BOX 340ADAMSVILLE, AL   35005                    ",,,Active,579933,,None,Carrier,FIREWORKS OF ALABAMA INC,04-NOV-94,2,"
",Intrastate Hazmat,No,,23-MAR-01,,FIREWORKS (CLAS - ,Private(Property) - 
FORD SUPER DUTY            ,Trucking Companies Company                        ,"4911-JONES STREETADAMSVILLE, AL   35005                    ","4911-JONES STREETADMASVILLE, AL   35005                    ",(205) 674-0981,,Active,1526202,,None,Carrier,FORD SUPER DUTY,06-JUL-06,1,"1
",Intrastate Non-Hazmat,No,2005,21-JUN-06,7000,Drive/Tow away - ,Auth. For Hire - 
GAP CONCEPTS INC            ,Trucking Companies Company                        ,"2835 VALLEY HILL CIRADAMSVILLE, AL   35005-1518                    ","2835 VALLEY HILL CIRADAMSVILLE, AL   35005-1518                    ",,,Active,3253348,,None,Carrier,GAP CONCEPTS INC,04-MAR-19,2,"4
",Intrastate Non-Hazmat,No,,04-MAR-19,,"General Freight - Building Materials - Machinery, Large Objects - Agricultural/Farm Supplies - Construction - ",Auth. For Hire - Exempt For Hire - Private(Property) - 
