Business Name,Business Type,Physical Address,Mailing Address,Telephone,Fax,Operation Status,USDOT Number,MC Number,Out of Service Date,Entity Type,Legal Name,Bussiness Since,Total Trucks,Total Drivers,Carrier Operation,Hazardous Material,MCS-150 Mileage Year,MCS-150 DATE,MCS-150 MILEAGE,Cargo Hauled,Operation Classification
3 B TRUCKING LLC            ,Trucking Companies Company                        ,"597 SARDIS AIRPORT ROADADDISON, AL   35540                    ","P O BOX 811ADDISON, AL   35540                    ",(256) 747-8018,(256) 747-8018,Active,1845940,,None,Carrier,3 B TRUCKING LLC,16-JAN-09,1,"1
",Intrastate Non-Hazmat,No,,11-MAR-09,,Coal/Coke - DIRT - ,Exempt For Hire - APPLYING F - 
"A & W CARRIERS, INC.            ",Trucking Companies Company                        ,"P O BOX 274, RT.#1ADDISON AL 35540                    ","P O BOX 274, RT.#1,Addison, AL, 35540                    ",(205) 747-1613,,,,MC-192764,None,Carrier,"A & W CARRIERS, INC.",,,,,,,,,,
A PLUS TOWING            ,Trucking Companies Company                        ,"22676 CO RD 41ADDISON, AL   35540                    ","22676 CO RD 41ADDISON, AL   35540                    ",,,Active,2375869,,None,Carrier,A PLUS TOWING,04-FEB-13,1,"1
",Intrastate Non-Hazmat,No,,04-FEB-13,,Motor Vehicles - ,Private(Property) - 
ADDISON AGRI BUILDERS LLC            ,Trucking Companies Company                        ,"2661 CO RD 39ADDISON, AL   35540                    ","PO BOX 42ADDISON, AL   35540                    ",,,Active,1518047,,None,Carrier,ADDISON AGRI BUILDERS LLC,20-JUN-06,4,"4
",Intrastate Non-Hazmat,No,2020,14-AUG-20,100000,"Metal: sheets, coils, rolls - Logs, Poles, Beams, Lumber - Building Materials - ",Private(Property) - 
ADDISON EXPRESS LLC            ,Trucking Companies Company                        ,31711 HIGHWAY 278 ADDISON AL 35540                    ,"31711 HIGHWAY 278ADDISON, AL   35540                    ",(256) 747-6400,,Authorized For Property,2573892,MC-899957,None,Carrier,ADDISON EXPRESS LLC,22-JAN-15,1,"1
",Interstate,No,2019,17-JUL-20,118581,General Freight - Paper Products - ,Auth. For Hire - 
ADDISON FABRICATORS INC            ,Trucking Companies Company                        ,"30751 HWY 278ADDISON, AL   35540                    ","POST OFFICE BOX 330ADDISON, AL   35540                    ",,,Active,393728,,None,Carrier,ADDISON FABRICATORS INC,17-MAY-90,3,"2
",Interstate,No,2020,22-AUG-20,1,PRESSURE VESSELS - ,Private(Property) - 
ADDISON SEPTIC TANK            ,Trucking Companies Company                        ,"6411 COUNTY ROAD 39ADDISON, AL   35540                    ","6411 COUNTY ROAD 39ADDISON, AL   35540                    ",,,Active,1503270,,None,Carrier,ADDISON SEPTIC TANK,18-MAY-06,1,"1
",Intrastate Non-Hazmat,No,2005,18-MAY-06,20000,SEPTIC TANKS - ,Private(Property) - 
ADDISON STEEL TRUSS INC            ,Trucking Companies Company                        ,"33884 HWY 278ADDISON, AL   35540                    ","PO BOX 225ADDISON, AL   35540                    ",,,Active,1482795,,None,Carrier,ADDISON STEEL TRUSS INC,03-APR-06,4,"4
",Intrastate Non-Hazmat,No,,03-APR-06,,Building Materials - ,Private(Property) - 
"ADDISON TRANSPORT, INC.            ",Trucking Companies Company                        ,P. O. BOX 73ADDISON AL 35540                    ,"P. O. BOX 73,Addison, AL, 35540                    ",(205) 747-2600,,,568481,MC-276850,None,Carrier,"ADDISON TRANSPORT, INC.",,,,,,,,,,
ADDISON TRUSS & BUILDING SUPPLY LLC            ,Trucking Companies Company                        ,"13 COUNTY ROAD 166ADDISON, AL   35540                    ","PO BOX 575CLEVELAND, AL   35049                    ",,,Active,121431,,None,Carrier,ADDISON TRUSS & BUILDING SUPPLY LLC,01-JUN-74,2,"2
",Interstate,No,2020,18-NOV-20,233802,Building Materials - ,Private(Property) - 
